,Actual,AL,RF,RR,RW,Simple_Ensemble,Weighted_Ensemble
2020-01-01,2.599767976845202,,,,,,
2020-02-01,2.34131667975952,,,,,,
2020-03-01,1.4940399642909163,,,,,,
2020-04-01,0.3130472940411133,,,,,,
2020-05-01,0.1982013035848551,,,,,,
2020-06-01,0.7166562831830481,,,,,,
2020-07-01,0.9968647625897996,,,,,,
2020-08-01,1.2810698495523851,,,,,,
2020-09-01,1.3910228912373812,,,,,,
2020-10-01,1.2303863428671624,,,,,,
2020-11-01,1.1757452138405844,,,,,,
2020-12-01,1.3204191315779434,,,,,,
2021-01-01,1.3553199782346148,,,,,,
2021-02-01,1.667502410800381,,,,,,
2021-03-01,2.623645747764214,,,,,,
2021-04-01,4.137373453318349,,,,,,
2021-05-01,4.926466563983079,,,,,,
2021-06-01,5.317418943207719,,,,,,
2021-07-01,5.269167647240969,,,,,,
2021-08-01,5.181323173271246,,,,,,
2021-09-01,5.363523425270289,,,,,,
2021-10-01,6.226591220771449,,,,,,
2021-11-01,6.865559520296194,,,,,,
2021-12-01,7.159457345112474,,,,,,
2022-01-01,7.578082463000535,,,,,,
2022-02-01,7.949220898953979,,,,,,
2022-03-01,8.540780148538584,,,,,,
2022-04-01,8.235161744022502,,,,,,
2022-05-01,8.530051713089225,,,,,,
2022-06-01,8.999298141923106,,,,,,
2022-07-01,8.447778206754553,,,,,,
2022-08-01,8.216255059541266,,,,,,
2022-09-01,8.205751582451759,,,,,,
2022-10-01,7.757261470809462,,,,,,
2022-11-01,7.131380368978291,,,,,,
2022-12-01,6.410831677385809,,,,,,
2023-01-01,6.340296309929161,,,,,,
2023-02-01,5.957648712766894,,,,,,
2023-03-01,4.931348641757127,,,,,,
2023-04-01,4.946947488062325,,,,,,
2023-05-01,4.125314539356473,,,,,,
2023-06-01,3.0592533347792994,,,,,,
2023-07-01,3.28032820234625,,,,,,
2023-08-01,3.718635867760756,,,,,,
2023-09-01,3.6950823322234423,,,,,,
2023-10-01,3.2465375076767167,,,,,,
2023-11-01,3.139855644977696,,,,,,
2023-12-01,3.322200208829762,,,,,,
2024-01-01,3.1079425939238847,,,,,,
2024-02-01,3.16642120765831,,,,,,
2024-03-01,3.4690014354717524,,,,,,
2024-04-01,3.3540471111874304,,,,,,
2024-05-01,3.238866396761142,,,,,,
2024-06-01,2.9700853998204435,,,,,,
2024-07-01,2.9384633061405374,,,,,,
2024-08-01,2.610914032233836,,,,,,
2024-09-01,2.432541464144644,,,,,,
2024-10-01,2.5714034967967203,,,,,,
2024-11-01,2.7141684004842848,,,,,,
2024-12-01,2.872366268806581,,,,,,
2025-01-01,2.999412512831112,,,,,,
2025-02-01,2.814270373156869,,,,,,
2025-03-01,2.405585264028032,,,,,,
2025-04-01,2.3337465177498906,,,,,,
2025-05-01,2.3759340869898398,,,,,,
2025-06-01,2.6726833178446263,,,,,,
2025-07-01,2.7318012794754543,,,,,,
2025-08-01,2.9392196249335534,,,,,,
2025-09-01,3.022699626172387,,,,,,
2025-10-01,2.894975345730177,,,,,,
2025-11-01,2.711969385272184,,,,,,
2025-12-01,2.653312468710922,2.653312468710922,2.653312468710922,2.653312468710922,2.653312468710922,2.653312468710922,2.653312468710922
2026-01-01,,2.744888529171252,3.2908364883313057,2.2485586348200637,1.796396033928127,2.7614278841075404,2.763545712544577
2026-02-01,,2.7896501711967225,3.197055020886741,1.2911332488808491,0.939479599145332,2.425946146988104,2.4276664013703044
2026-03-01,,2.7943929204024442,3.1527350535980325,-0.2016582944490808,0.08256316436253686,1.9151565598504652,1.9146031171053233
2026-04-01,,2.799135669608166,2.6900362364141617,-0.9407114320159837,-0.7743532704202583,1.516153491335448,1.5191820915909398
2026-05-01,,2.8038784188138877,2.475212200333954,-1.4154423296588892,-1.631269705203053,1.2878827631629841,1.2965727444877364
2026-06-01,,2.8086211680196094,3.067572614707048,0.2174711168233756,-2.4881861399858476,2.0312216331833444,2.0204711029810203
2026-07-01,,2.813363917225331,2.873091347546075,1.5765280369612888,-3.3451025747686423,2.420994433910898,2.39313299136095
2026-08-01,,2.818106666431053,3.0036485540036573,1.8991965254453458,-4.202019009551437,2.5736505819600186,2.5420082091432867
2026-09-01,,2.8228494156367745,2.677342255213311,1.1665687971297634,-5.058935444334232,2.222253489326616,2.199326655748138
2026-10-01,,2.827592164842496,3.0165985525050787,0.9403291445852724,-5.915851879117026,2.2615066206442824,2.2637256950630547
2026-11-01,,2.832334914048218,2.8053854489638153,0.5559125634913786,-6.772768313899821,2.0645443088344706,2.069710259769013
2026-12-01,,2.823094224106315,2.3812611076332257,-0.3330967542237051,-7.629684748682616,1.6237528591719452,1.6392886155709174
